iter	Passed	Remaining
0	151	151463
1	153	76841
2	155	51823
3	159	39643
4	163	32600
5	165	27431
6	167	23753
7	169	20961
8	170	18786
9	172	17046
10	173	15631
11	175	14446
12	177	13443
13	178	12582
14	180	11846
15	182	11197
16	183	10619
17	185	10105
18	187	9666
19	189	9261
20	201	9401
21	203	9047
22	205	8715
23	206	8411
24	208	8131
25	210	7871
26	212	7666
27	214	7442
28	216	7232
29	217	7038
30	219	6860
31	221	6695
32	223	6537
33	224	6386
34	227	6259
35	228	6123
36	230	5995
37	234	5947
38	236	5830
39	238	5719
40	240	5614
41	242	5522
42	243	5424
43	245	5332
44	254	5398
45	258	5370
46	260	5292
47	263	5218
48	264	5137
49	266	5060
50	267	4985
51	269	4912
52	272	4872
53	274	4815
54	277	4761
55	278	4699
56	280	4637
57	281	4578
58	285	4559
59	288	4513
60	290	4464
61	291	4412
62	293	4361
63	294	4312
64	296	4263
65	297	4214
66	301	4193
67	302	4147
68	304	4112
69	306	4071
70	308	4031
71	309	3991
72	311	3953
73	312	3914
74	316	3898
75	318	3870
76	319	3835
77	321	3801
78	323	3768
79	324	3735
80	326	3702
81	327	3671
82	330	3656
83	333	3632
84	334	3599
85	336	3571
86	336	3535
87	338	3508
88	340	3480
89	341	3454
90	343	3428
91	346	3419
92	348	3398
93	350	3375
94	351	3351
95	353	3327
96	354	3303
97	356	3281
98	358	3259
99	361	3251
100	363	3234
101	364	3205
102	365	3183
103	367	3163
104	368	3143
105	371	3132
106	373	3116
107	375	3103
108	378	3096
109	380	3080
110	383	3070
111	386	3062
112	388	3048
113	390	3031
114	392	3018
115	393	2997
116	395	2981
117	396	2964
118	399	2955
119	401	2944
120	403	2930
121	405	2915
122	405	2894
123	407	2878
124	409	2863
125	410	2848
126	416	2859
127	417	2843
128	420	2836
129	421	2823
130	426	2829
131	433	2853
132	440	2871
133	448	2897
134	450	2885
135	451	2871
136	453	2857
137	455	2842
138	458	2839
139	462	2839
140	463	2826
141	465	2814
142	467	2801
143	469	2788
144	470	2775
145	472	2766
146	474	2754
147	476	2742
148	478	2730
149	479	2718
150	481	2706
151	485	2708
152	488	2704
153	490	2693
154	491	2681
155	493	2670
156	495	2661
157	499	2664
158	503	2662
159	506	2659
160	511	2666
161	513	2657
162	515	2648
163	518	2643
164	520	2636
165	522	2627
166	524	2616
167	532	2635
168	535	2633
169	545	2663
170	549	2662
171	551	2655
172	556	2660
173	558	2651
174	560	2643
175	562	2634
176	564	2624
177	566	2613
178	567	2603
179	570	2596
180	570	2582
181	572	2574
182	574	2565
183	576	2555
184	577	2545
185	579	2536
186	584	2542
187	586	2533
188	589	2527
189	590	2518
190	592	2508
191	593	2498
192	596	2494
193	600	2494
194	602	2485
195	603	2476
196	606	2471
197	607	2462
198	609	2453
199	614	2459
200	616	2451
201	618	2442
202	619	2434
203	622	2427
204	623	2419
205	625	2410
206	631	2418
207	633	2411
208	635	2403
209	636	2395
210	638	2387
211	639	2378
212	641	2370
213	645	2372
214	647	2364
215	649	2355
216	650	2347
217	652	2339
218	653	2331
219	655	2323
220	656	2315
221	660	2315
222	662	2307
223	663	2299
224	665	2291
225	666	2283
226	668	2276
227	670	2268
228	671	2261
229	673	2256
230	675	2249
231	676	2240
232	678	2233
233	679	2225
234	681	2218
235	683	2211
236	684	2204
237	686	2197
238	687	2189
239	689	2184
240	691	2177
241	692	2170
242	694	2163
243	696	2156
244	697	2149
245	699	2143
246	700	2136
247	702	2129
248	704	2124
249	705	2117
250	707	2111
251	709	2104
252	710	2097
253	712	2091
254	713	2085
255	715	2078
256	717	2073
257	719	2067
258	720	2061
259	722	2055
260	723	2049
261	725	2042
262	726	2036
263	728	2030
264	729	2024
265	731	2018
266	733	2012
267	734	2007
268	736	2001
269	738	1995
270	739	1989
271	741	1983
272	742	1977
273	744	1971
274	745	1966
275	747	1960
276	748	1954
277	750	1950
278	752	1944
279	754	1939
280	755	1933
281	757	1928
282	758	1922
283	760	1917
284	762	1911
285	763	1906
286	765	1901
287	767	1896
288	768	1890
289	770	1885
290	771	1880
291	773	1874
292	775	1871
293	779	1870
294	780	1866
295	782	1861
296	784	1856
297	785	1851
298	787	1845
299	788	1840
300	790	1835
301	792	1830
302	793	1825
303	795	1820
304	797	1816
305	798	1811
306	800	1806
307	801	1801
308	803	1796
309	805	1791
310	806	1786
311	808	1781
312	809	1776
313	811	1772
314	813	1768
315	814	1763
316	815	1758
317	817	1753
318	819	1748
